Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00003_001,SE_A00003_002,SE_A00003_003
"29","Missouri","ACSSF","mo","040","00","0000001",,,,,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US29","Missouri",,,,6124160,69706.8,68746.48,960.3195
"30","Montana","ACSSF","mt","040","00","0000001",,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US30","Montana",,,,1061705,147043.3,145550.4,1492.937
"31","Nebraska","ACSSF","ne","040","00","0000001",,,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US31","Nebraska",,,,1923826,77347.27,76817.88,529.3916
"32","Nevada","ACSSF","nv","040","00","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US32","Nevada",,,,3030281,110570.8,109860.5,710.2976
"33","New Hampshire","ACSSF","nh","040","00","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US33","New Hampshire",,,,1355244,9349.884,8953.754,396.1304
"34","New Jersey","ACSSF","nj","040","00","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US34","New Jersey",,,,8885418,8718.959,7354.759,1364.2
"35","New Mexico","ACSSF","nm","040","00","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US35","New Mexico",,,,2097021,121593.2,121312.8,280.4963
"36","New York","ACSSF","ny","040","00","0000001",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US36","New York",,,,19514849,54558.66,47123.59,7435.073
"37","North Carolina","ACSSF","nc","040","00","0000001",,,,,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US37","North Carolina",,,,10386227,53818.56,48623.02,5195.543
"38","North Dakota","ACSSF","nd","040","00","0000001",,,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US38","North Dakota",,,,760394,70698.82,68995.86,1702.955
"39","Ohio","ACSSF","oh","040","00","0000001",,,,,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US39","Ohio",,,,11675275,44825.83,40858.76,3967.067
"40","Oklahoma","ACSSF","ok","040","00","0000001",,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US40","Oklahoma",,,,3949342,69899.13,68596.53,1302.589
