Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00003_001,SE_A00003_002,SE_A00003_003
"1","New England Division","ACSSF","us","030","00","0000068",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03000US1","New England Division",,,,14821759,71987.96,62688.46,9299.501
"2","Middle Atlantic Division","ACSSF","us","030","00","0000069",,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03000US2","Middle Atlantic Division",,,,41195152,109331.9,99223.32,10108.57
"3","East North Central Division","ACSSF","us","030","00","0000070",,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03000US3","East North Central Division",,,,46869214,301368.6,242902.4,58466.13
"4","West North Central Division","ACSSF","us","030","00","0000071",,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03000US4","West North Central Division",,,,21350512,520355.8,507620.1,12735.72
"5","South Atlantic Division","ACSSF","us","030","00","0000072",,,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03000US5","South Atlantic Division",,,,65235308,292990.5,265062,27928.49
"6","East South Central Division","ACSSF","us","030","00","0000073",,,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03000US6","East South Central Division",,,,19109241,183403.9,178289.8,5114.06
"7","West South Central Division","ACSSF","us","030","00","0000074",,,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03000US7","West South Central Division",,,,40261273,444052,425066,18986
"8","Mountain Division","ACSSF","us","030","00","0000075",,,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03000US8","Mountain Division",,,,24534951,863564.6,855767,7797.65
"9","Pacific Division","ACSSF","us","030","00","0000076",,,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03000US9","Pacific Division",,,,53191898,1009687,895286.3,114400.7
