Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00003_001,SE_A00003_002,SE_A00003_003
"09140","State House District 140 (2018), Connecticut","ACSSF","ct","620","00","0005437",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,"140",,,,,,,,,,,,,,"62000US09140","State House District 140 (2018)",,,,23399,2.229556,2.229556,0
"09141","State House District 141 (2018), Connecticut","ACSSF","ct","620","00","0005438",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,"141",,,,,,,,,,,,,,"62000US09141","State House District 141 (2018)",,,,25649,24.64861,13.04967,11.59894
"09142","State House District 142 (2018), Connecticut","ACSSF","ct","620","00","0005439",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,"142",,,,,,,,,,,,,,"62000US09142","State House District 142 (2018)",,,,24051,12.9982,12.93341,0.06478871
"09143","State House District 143 (2018), Connecticut","ACSSF","ct","620","00","0005440",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,"143",,,,,,,,,,,,,,"62000US09143","State House District 143 (2018)",,,,25096,23.52853,23.33792,0.1906078
"09144","State House District 144 (2018), Connecticut","ACSSF","ct","620","00","0005441",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,"144",,,,,,,,,,,,,,"62000US09144","State House District 144 (2018)",,,,22568,5.812372,5.805449,0.006922812
"09145","State House District 145 (2018), Connecticut","ACSSF","ct","620","00","0005442",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,"145",,,,,,,,,,,,,,"62000US09145","State House District 145 (2018)",,,,24497,2.996271,2.645684,0.3505873
"09146","State House District 146 (2018), Connecticut","ACSSF","ct","620","00","0005443",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,"146",,,,,,,,,,,,,,"62000US09146","State House District 146 (2018)",,,,30860,3.368282,2.673594,0.6946886
"09147","State House District 147 (2018), Connecticut","ACSSF","ct","620","00","0005444",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,"147",,,,,,,,,,,,,,"62000US09147","State House District 147 (2018)",,,,23106,15.90165,15.39966,0.5019884
"09148","State House District 148 (2018), Connecticut","ACSSF","ct","620","00","0005445",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,"148",,,,,,,,,,,,,,"62000US09148","State House District 148 (2018)",,,,24253,14.87739,2.326625,12.55076
"09149","State House District 149 (2018), Connecticut","ACSSF","ct","620","00","0005446",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,"149",,,,,,,,,,,,,,"62000US09149","State House District 149 (2018)",,,,23962,38.9479,37.95886,0.9890444
"09150","State House District 150 (2018), Connecticut","ACSSF","ct","620","00","0005447",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,"150",,,,,,,,,,,,,,"62000US09150","State House District 150 (2018)",,,,24300,25.82758,7.112107,18.71547
"09151","State House District 151 (2018), Connecticut","ACSSF","ct","620","00","0005448",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,"151",,,,,,,,,,,,,,"62000US09151","State House District 151 (2018)",,,,22766,13.20638,13.01109,0.195297
"09ZZZ","State House Districts not defined (2018), Connecticut","ACSSF","ct","620","00","0005449",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,"ZZZ",,,,,,,,,,,,,,"62000US09ZZZ","State House Districts not defined (2018)",,,,0,423.037,0,423.037
"10001","State House District 1 (2018), Delaware","ACSSF","de","620","00","0001408",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,"001",,,,,,,,,,,,,,"62000US10001","State House District 1 (2018)",,,,22307,3.273214,3.245212,0.02800283
