Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00003_001,SE_A00003_002,SE_A00003_003
"72694","Pulaski, VA Urban Cluster (2010)","ACSSF","us","400","00","0009913",,,,,,,,,,,,,,,,,,,,,,,,,,"72694",,,,,,,,,,,,,,,,,,"40000US72694","Pulaski",,,,15591,,,
"72721","Pulaski, WI Urban Cluster (2010)","ACSSF","us","400","00","0009914",,,,,,,,,,,,,,,,,,,,,,,,,,"72721",,,,,,,,,,,,,,,,,,"40000US72721","Pulaski",,,,3165,,,
"72748","Pullman, WA Urban Cluster (2010)","ACSSF","us","400","00","0009915",,,,,,,,,,,,,,,,,,,,,,,,,,"72748",,,,,,,,,,,,,,,,,,"40000US72748","Pullman",,,,33924,,,
"72775","Punxsutawney, PA Urban Cluster (2010)","ACSSF","us","400","00","0009916",,,,,,,,,,,,,,,,,,,,,,,,,,"72775",,,,,,,,,,,,,,,,,,"40000US72775","Punxsutawney",,,,6092,,,
"72829","Purcell, OK Urban Cluster (2010)","ACSSF","us","400","00","0009917",,,,,,,,,,,,,,,,,,,,,,,,,,"72829",,,,,,,,,,,,,,,,,,"40000US72829","Purcell",,,,6758,,,
"72856","Purcellville, VA Urban Cluster (2010)","ACSSF","us","400","00","0009918",,,,,,,,,,,,,,,,,,,,,,,,,,"72856",,,,,,,,,,,,,,,,,,"40000US72856","Purcellville",,,,14114,,,
"72910","Quarryville, PA Urban Cluster (2010)","ACSSF","us","400","00","0009919",,,,,,,,,,,,,,,,,,,,,,,,,,"72910",,,,,,,,,,,,,,,,,,"40000US72910","Quarryville",,,,7904,,,
"72937","Quartzsite, AZ Urban Cluster (2010)","ACSSF","us","400","00","0009920",,,,,,,,,,,,,,,,,,,,,,,,,,"72937",,,,,,,,,,,,,,,,,,"40000US72937","Quartzsite",,,,3414,,,
"73018","Quincy, FL Urban Cluster (2010)","ACSSF","us","400","00","0009921",,,,,,,,,,,,,,,,,,,,,,,,,,"73018",,,,,,,,,,,,,,,,,,"40000US73018","Quincy",,,,8426,,,
"73045","Quincy, IL Urban Cluster (2010)","ACSSF","us","400","00","0009922",,,,,,,,,,,,,,,,,,,,,,,,,,"73045",,,,,,,,,,,,,,,,,,"40000US73045","Quincy",,,,43335,,,
