fips,name,population,area
01001033,ZCTA 01033,6310,28.07222
01001034,ZCTA 01034,2115,73.60429
01001035,ZCTA 01035,5328,24.60458
01001036,ZCTA 01036,5174,19.51437
01001037,ZCTA 01037,642,15.6356
01001038,ZCTA 01038,2653,10.85701
01001039,ZCTA 01039,1368,13.44668
01001040,ZCTA 01040,40161,22.84197
01001050,ZCTA 01050,2454,39.32291
01001053,ZCTA 01053,1850,5.228515
01001054,ZCTA 01054,1875,22.95469
01001056,ZCTA 01056,21223,28.33586
01001057,ZCTA 01057,8778,45.51441
01001060,ZCTA 01060,16386,12.17951
01001062,ZCTA 01062,9693,18.30631
01001063,ZCTA 01063,623,0.03880404
01001066,ZCTA 01066,30,0.7566193
01001068,ZCTA 01068,1636,21.21975
01001069,ZCTA 01069,8716,28.37851
01001070,ZCTA 01070,679,20.82637
01001071,ZCTA 01071,1392,15.87904
01001072,ZCTA 01072,1541,20.59741
01001073,ZCTA 01073,6169,28.95827
01001074,ZCTA 01074,396,0.1052681
01001075,ZCTA 01075,17715,18.39592
01001077,ZCTA 01077,9722,31.64925
01001079,ZCTA 01079,515,1.16991
01001080,ZCTA 01080,2419,1.825853
01001081,ZCTA 01081,1937,14.7336
01001082,ZCTA 01082,10341,52.37914
01001083,ZCTA 01083,3125,15.81318
01001084,ZCTA 01084,165,9.2747
01001085,ZCTA 01085,41758,60.84804
01001086,ZCTA 01086,351,0.0371245
01001088,ZCTA 01088,588,5.209868
01001089,ZCTA 01089,28527,17.52931
01001092,ZCTA 01092,1200,6.739923
01001093,ZCTA 01093,295,5.049076
01001094,ZCTA 01094,428,1.208546
01001095,ZCTA 01095,14740,22.78703
01001096,ZCTA 01096,2288,31.8709
01001097,ZCTA 01097,93,1.954209
01001098,ZCTA 01098,1182,31.5141
01101103,ZCTA 01103,1989,0.5395349
01101104,ZCTA 01104,23150,5.298624
01101105,ZCTA 01105,12651,1.361395
01101106,ZCTA 01106,15982,9.790193
01101107,ZCTA 01107,11693,1.541793
01101108,ZCTA 01108,26397,3.881495
01101109,ZCTA 01109,30684,5.630471
01101118,ZCTA 01118,14839,3.696203
01101119,ZCTA 01119,13253,3.643274
01101128,ZCTA 01128,2989,1.115319
01101129,ZCTA 01129,6296,3.518612
01101151,ZCTA 01151,9485,2.5538
01101199,ZCTA 01199,0,0.01091781
01201201,ZCTA 01201,43941,55.54287
01201220,ZCTA 01220,8129,24.66442
01201222,ZCTA 01222,720,3.436011
01201223,ZCTA 01223,2499,71.81596
01201224,ZCTA 01224,163,0.3099447
01201225,ZCTA 01225,3093,25.81495
01201226,ZCTA 01226,6698,26.50588
01201229,ZCTA 01229,59,0.7332293
01201230,ZCTA 01230,8354,93.26363
01201235,ZCTA 01235,2369,46.72963
01201236,ZCTA 01236,1577,4.864943
01201237,ZCTA 01237,2522,62.27242
01201238,ZCTA 01238,5980,35.87935
01201240,ZCTA 01240,4666,21.82342
