fips,name,population,area
720975247414018,"Cárcel subbarrio, Mayagüez barrio-pueblo, Mayagüez Municipio, Puerto Rico",6469,0.7997963
720975247451465,"Marina Meridional subbarrio, Mayagüez barrio-pueblo, Mayagüez Municipio, Puerto Rico",4576,0.5815765
720975247451470,"Marina Septentrional subbarrio, Mayagüez barrio-pueblo, Mayagüez Municipio, Puerto Rico",1983,0.4791929
720975247469781,"Río subbarrio, Mayagüez barrio-pueblo, Mayagüez Municipio, Puerto Rico",3205,0.4832648
720975247475200,"Salud subbarrio, Mayagüez barrio-pueblo, Mayagüez Municipio, Puerto Rico",1829,0.1909414
721131235505055,"Baldorioty de Castro subbarrio, Canas Urbano barrio, Ponce Municipio, Puerto Rico",8127,0.9058895
721131235518594,"Clausells subbarrio, Canas Urbano barrio, Ponce Municipio, Puerto Rico",2947,0.5431628
721131235569142,"Reparada subbarrio, Canas Urbano barrio, Ponce Municipio, Puerto Rico",4093,0.8658268
721217358764805,"Pueblo Norte subbarrio, Sabana Grande barrio-pueblo, Sabana Grande Municipio, Puerto Rico",709,0.04654346
721217358765010,"Pueblo Sud subbarrio, Sabana Grande barrio-pueblo, Sabana Grande Municipio, Puerto Rico",671,0.06491189
721230117501185,"Aguirre (Rural) subbarrio, Aguirre barrio, Salinas Municipio, Puerto Rico",9710,35.62821
721230117516532,"Central Aguirre subbarrio, Aguirre barrio, Salinas Municipio, Puerto Rico",1294,0.4326101
721230117520315,"Coquí subbarrio, Aguirre barrio, Salinas Municipio, Puerto Rico",1428,0.1396617
721230117575913,"San Felipe subbarrio, Aguirre barrio, Salinas Municipio, Puerto Rico",196,0.02538738
721257621064735,"Pueblo Central subbarrio, San Germán barrio-pueblo, San Germán Municipio, Puerto Rico",533,0.1096646
721257621064950,"Pueblo Occidental subbarrio, San Germán barrio-pueblo, San Germán Municipio, Puerto Rico",913,0.1223349
721257621064975,"Pueblo Oriental subbarrio, San Germán barrio-pueblo, San Germán Municipio, Puerto Rico",646,0.09956841
721273398418580,"Ciudad Nueva subbarrio, Hato Rey Central barrio, San Juan Municipio, Puerto Rico",2172,0.2021836
721273398428656,"Floral Park subbarrio, Hato Rey Central barrio, San Juan Municipio, Puerto Rico",1113,0.09793173
721273398443950,"Las Monjas subbarrio, Hato Rey Central barrio, San Juan Municipio, Puerto Rico",4532,0.3154161
721273398468265,"Quintana subbarrio, Hato Rey Central barrio, San Juan Municipio, Puerto Rico",6324,0.4185382
721273402725173,"Eleanor Roosevelt subbarrio, Hato Rey Norte barrio, San Juan Municipio, Puerto Rico",4538,0.6346736
721273402726350,"El Vedado subbarrio, Hato Rey Norte barrio, San Juan Municipio, Puerto Rico",2666,0.5055958
721273402751618,"Martín Peña subbarrio, Hato Rey Norte barrio, San Juan Municipio, Puerto Rico",3395,0.9464828
721273402765464,"Puerto Nuevo subbarrio, Hato Rey Norte barrio, San Juan Municipio, Puerto Rico",2769,2.238737
721273407007398,"Bella Vista subbarrio, Hato Rey Sur barrio, San Juan Municipio, Puerto Rico",1333,0.07730499
721273407035708,"Hyde Park subbarrio, Hato Rey Sur barrio, San Juan Municipio, Puerto Rico",4154,0.476118
721273407039714,"La 37 subbarrio, Hato Rey Sur barrio, San Juan Municipio, Puerto Rico",2190,0.1750692
