fips,name,population,area
0103090,"Sumter County School District, Alabama",12595,838.6597
0103120,"Sylacauga City School District, Alabama",12132,20.41618
0103150,"Talladega City School District, Alabama",15405,26.1334
0103180,"Talladega County School District, Alabama",48663,707.5186
0103210,"Tallapoosa County School District, Alabama",21648,650.7368
0103240,"Tallassee City School District, Alabama",9397,99.603
0103270,"Tarrant City School District, Alabama",6216,6.422348
0103300,"Thomasville City School District, Alabama",4998,105.8395
0103330,"Troy City School District, Alabama",18995,28.42071
0103360,"Tuscaloosa City School District, Alabama",99037,71.26902
0103390,"Tuscaloosa County School District, Alabama",109817,849.3549
0103420,"Tuscumbia City School District, Alabama",8445,9.259727
0103430,"Vestavia Hills City School District, Alabama",34482,20.19951
0103450,"Walker County School District, Alabama",50218,775.5344
0103480,"Washington County School District, Alabama",16336,837.5111
0103510,"Wilcox County School District, Alabama",10552,848.6819
0103540,"Winfield City School District, Alabama",6259,65.02901
0103580,"Winston County School District, Alabama",16476,559.9025
0200001,"Lower Kuskokwim School District, Alaska",15831,1658.296
0200003,"Lower Yukon School District, Alaska",6821,1658.296
0200004,"Yupiit School District, Alaska",1028,16.69246
0200005,"Kashunamiut School District, Alaska",817,1.143478
0200007,"Aleutians East Borough School District, Alaska",3389,1658.296
0200010,"Aleutian Region School District, Alaska",449,1658.296
0200020,"Bering Strait School District, Alaska",6140,1658.296
0200030,"Bristol Bay Borough School District, Alaska",739,848.6879
0200050,"Alaska Gateway School District, Alaska",2816,957.9414
0200060,"Cordova City School District, Alaska",2248,75.14359
0200070,"Copper River School District, Alaska",2606,1286.298
0200090,"Craig City School District, Alaska",1206,9.506322
0200100,"Delta/Greely School District, Alaska",4383,963.66
0200120,"Dillingham City School District, Alaska",2065,36.066
0200130,"Galena City School District, Alaska",505,24.507
0200150,"Ketchikan Gateway Borough School District, Alaska",13833,1658.296
0200180,"Anchorage School District, Alaska",292090,1069.034
0200210,"Juneau Borough School District, Alaska",32099,1379.819
0200240,"Sitka School District, Alaska",8569,1658.296
0200270,"Haines Borough School District, Alaska",2547,1231.163
